repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type	URL	Single	num_of_versions
draft-ietf-mptcp-rfc6824bis	"draft-ietf-mptcp-rfc6824bis-11.xml
draft-ietf-mptcp-rfc6824bis-10.xml"	{'draft-ietf-mptcp-rfc6824bis-11.xml': 16, 'draft-ietf-mptcp-rfc6824bis-10.xml': 2}	{'xml': 18}	18	2	xml	"draft-ietf-mptcp-rfc6824bis: draft-ietf-mptcp-rfc6824bis
draft-ietf-mptcp-rfc6824bis: draft-ietf-mptcp-rfc6824bis"	Y	1
https-notif	draft-ietf-netconf-https-notif.xml	{'draft-ietf-netconf-https-notif.xml': 26}	{'xml': 26}	26	1	xml		Y	1
draft-irtf-nwcrg-network-coding-satellites	"draft-irtf-nwcrg-network-coding-satellites-06.xml
draft-irtf-nwcrg-network-coding-satellites-07.xml
draft-irtf-nwcrg-network-coding-satellites-05.xml
draft-irtf-nwcrg-network-coding-satellites-10.xml"	{'draft-irtf-nwcrg-network-coding-satellites-06.xml': 26, 'draft-irtf-nwcrg-network-coding-satellites-07.xml': 14, 'draft-irtf-nwcrg-network-coding-satellites-05.xml': 18, 'draft-irtf-nwcrg-network-coding-satellites-10.xml': 2}	{'xml': 60}	60	4	xml	"draft-irtf-nwcrg-network-coding-satellites-06: draft-irtf-nwcrg-network-coding-satellites
draft-irtf-nwcrg-network-coding-satellites-07: draft-irtf-nwcrg-network-coding-satellites
draft-irtf-nwcrg-network-coding-satellites-05: draft-irtf-nwcrg-network-coding-satellites
draft-irtf-nwcrg-network-coding-satellites-10: draft-irtf-nwcrg-network-coding-satellites"	Y	1
oblivious-http	"draft-thomson-http-oblivious.md
draft-ietf-ohai-ohttp.md
draft-thomson-ohai-ohttp.md
draft-thomson-http-binary-message.md"	{'draft-thomson-http-oblivious.md': 68, 'draft-ietf-ohai-ohttp.md': 248, 'draft-thomson-ohai-ohttp.md': 6, 'draft-thomson-http-binary-message.md': 12}	{'md': 334}	334	4	md	"3draft-thomson-http-oblivious: draft-thomson-http-oblivious
draft-ietf-ohai-ohttp: draft-ietf-ohai-ohttp
draft-thomson-ohai-ohttp: draft-ietf-ohai-ohttp
draft-thomson-http-binary-message: draft-ietf-httpbis-binary-message"	N	3
lxnm	"draft-ietf-opsawg-l3sm-l3nm-01.xml
draft-ietf-opsawg-l3sm-l3nm-04.xml
draft-ietf-opsawg-l3sm-l3nm-02.xml
draft-ietf-opsawg-sap.xml
draft-ietf-opsawg-l3sm-l3nm-03.xml
draft-ietf-opsawg-l3sm-l3nm.xml
draft-ietf-opsawg-l2nm.xml
draft-ietf-opsawg-l3sm-l3nm-00.xml
draft-ietf-opsawg-vpn-common.xml"	{'draft-ietf-opsawg-l3sm-l3nm-01.xml': 30, 'draft-ietf-opsawg-l3sm-l3nm-04.xml': 42, 'draft-ietf-opsawg-l3sm-l3nm-02.xml': 22, 'draft-ietf-opsawg-sap.xml': 16, 'draft-ietf-opsawg-l3sm-l3nm-03.xml': 4, 'draft-ietf-opsawg-l3sm-l3nm.xml': 8, 'draft-ietf-opsawg-l2nm.xml': 14, 'draft-ietf-opsawg-l3sm-l3nm-00.xml': 2, 'draft-ietf-opsawg-vpn-common.xml': 4}	{'xml': 142}	142	9	xml	"draft-ietf-opsawg-l3sm-l3nm-01: rfc9182
draft-ietf-opsawg-l3sm-l3nm-04: rfc9182
draft-ietf-opsawg-l3sm-l3nm-02: rfc9182
draft-ietf-opsawg-sap: draft-ietf-opsawg-sap
draft-ietf-opsawg-l3sm-l3nm-03: rfc9182
draft-ietf-opsawg-l3sm-l3nm: rfc9182
draft-ietf-opsawg-l2nm.xml: rfc9291
draft-ietf-opsawg-l3sm-l3nm-00: rfc9182
draft-ietf-opsawg-vpn-common: rfc9181"	N	4
ietf-wg-privacypass-base-drafts	"draft-ietf-privacypass-auth-scheme.md
draft-ietf-privacypass-architecture.md
draft-davidson-pp-protocol.md
draft-ietf-privacypass-protocol.md
draft-svaldez-pp-http-api.md
draft-davidson-pp-architecture.md
draft-ietf-privacypass-http-api.md"	{'draft-ietf-privacypass-auth-scheme.md': 78, 'draft-ietf-privacypass-architecture.md': 118, 'draft-davidson-pp-protocol.md': 22, 'draft-ietf-privacypass-protocol.md': 112, 'draft-svaldez-pp-http-api.md': 8, 'draft-davidson-pp-architecture.md': 10, 'draft-ietf-privacypass-http-api.md': 4}	{'md': 352}	352	7	md	"draft-ietf-privacypass-auth-scheme: draft-ietf-privacypass-auth-scheme
draft-svaldez-pp-http-api: draft-ietf-privacypass-auth-scheme
draft-ietf-privacypass-http-api: draft-ietf-privacypass-auth-scheme
draft-davidson-pp-architecture: draft-ietf-privacypass-architecture
draft-ietf-privacypass-architecture: draft-ietf-privacypass-architecture
draft-davidson-pp-protocol: draft-ietf-privacypass-protocol
draft-ietf-privacypass-protocol: draft-ietf-privacypass-protocol
"	N	3
draft-ietf-ppm-dap	"draft-ietf-ppm-dap.md
draft-gpew-priv-ppm.md
draft-ppm-protocol.md
draft-pda-protocol.md
draft-pda-core.md"	{'draft-ietf-ppm-dap.md': 200, 'draft-gpew-priv-ppm.md': 48, 'draft-ppm-protocol.md': 20, 'draft-pda-protocol.md': 78, 'draft-pda-core.md': 8}	{'md': 354}	354	5	md	"draft-ietf-ppm-dap: draft-ietf-ppm-dap
draft-gpew-priv-ppm: draft-ietf-ppm-dap
draft-ppm-protocol: draft-ppm-protocol_404
draft-pda-protocol: draft-pda-protocol_404
draft-pda-core: draft-pda-core_404"	Y	1
rfc-censorship-tech	"draft-hall-censorship-tech.md
draft-irtf-pearg-censorship.md
draft-hall-censorship-tech-latest.md"	{'draft-hall-censorship-tech.md': 4, 'draft-irtf-pearg-censorship.md': 10, 'draft-hall-censorship-tech-latest.md': 12}	{'md': 26}	26	3	md	"draft-hall-censorship-tech: draft-irtf-pearg-censorship
draft-irtf-pearg-censorship: draft-irtf-pearg-censorship
draft-hall-censorship-tech-latest: draft-irtf-pearg-censorship"	Y	1
perc-wg	"draft-ietf-perc-double.md
draft-ietf-perc-srtp-ekt-diet.xml
draft-jones-perc-dtls-tunnel.md
draft-ietf-perc-srtp-ekt-diet.md
draft-ietf-perc-dtls-tunnel.md
draft-ietf-perc-private-media-framework.md
draft-jones-perc-private-media-framework.md"	{'draft-ietf-perc-double.md': 58, 'draft-ietf-perc-srtp-ekt-diet.xml': 60, 'draft-jones-perc-dtls-tunnel.md': 6, 'draft-ietf-perc-srtp-ekt-diet.md': 26, 'draft-ietf-perc-dtls-tunnel.md': 20, 'draft-ietf-perc-private-media-framework.md': 34, 'draft-jones-perc-private-media-framework.md': 2}	{'md': 146, 'xml': 60}	206	7	md	"draft-ietf-perc-double: rfc8723
draft-ietf-perc-srtp-ekt-diet: rfc8870
draft-jones-perc-dtls-tunnel: rfc9185
draft-ietf-perc-dtls-tunnel: rfc9185
draft-ietf-perc-private-media-framework: rfc8871
draft-jones-perc-private-media-framework: rfc8871"	N	4
draft-ietf-rats-uccs	draft-ietf-rats-uccs.md	{'draft-ietf-rats-uccs.md': 16}	{'md': 16}	16	1	md		Y	1
ietf-rats-wg-architecture	draft-ietf-rats-architecture.md	{'draft-ietf-rats-architecture.md': 438}	{'md': 438}	438	1	md		Y	1
basic-yang-module	draft-ietf-rats-yang-tpm-charra.md	{'draft-ietf-rats-yang-tpm-charra.md': 76}	{'md': 76}	76	2	md		Y	1
draft-ietf-rats-ar4si	draft-ietf-rats-ar4si.md	{'draft-ietf-rats-ar4si.md': 18}	{'md': 18}	18	1	md		Y	1
draft-ietf-rats-reference-interaction-models	draft-ietf-rats-reference-interaction-models.md	{'draft-ietf-rats-reference-interaction-models.md': 34}	{'md': 34}	34	1	md		Y	1
dao-projection	draft-ietf-roll-dao-projection.xml	{'draft-ietf-roll-dao-projection.xml': 14}	{'xml': 14}	14	1	xml		Y	1
rpl-observations	draft-ietf-roll-rpl-observations.xml	{'draft-ietf-roll-rpl-observations.xml': 4}	{'xml': 4}	4	1	xml		Y	1
Capabilities	"draft-ietf-roll-mopex-cap.xml
draft-ietf-roll-capabilities.xml"	{'draft-ietf-roll-mopex-cap.xml': 4, 'draft-ietf-roll-capabilities.xml': 6}	{'xml': 10}	10	2	xml	"draft-ietf-roll-mopex-cap: draft-ietf-roll-capabilities
draft-ietf-roll-capabilities: draft-ietf-roll-capabilities"	Y	1
useofrplinfo	"roll-useofrplinfo.xml
draft-ietf-roll-useofrplinfo.xml"	{'roll-useofrplinfo.xml': 24, 'draft-ietf-roll-useofrplinfo.xml': 2}	{'xml': 26}	26	2	xml	"roll-useofrplinfo: rfc9008
draft-ietf-roll-useofrplinfo: rfc9008"	Y	1
jsep	draft-ietf-rtcweb-jsep.xml	{'draft-ietf-rtcweb-jsep.xml': 988}	{'xml': 988}	988	1	xml		Y	1
mdns-ice-candidates	"draft-ietf-rtcweb-mdns-ice-candidates.md
draft-ietf-mmusic-mdns-ice-candidates.md"	{'draft-ietf-rtcweb-mdns-ice-candidates.md': 122, 'draft-ietf-mmusic-mdns-ice-candidates.md': 10}	{'md': 132}	132	2	md	"draft-ietf-rtcweb-mdns-ice-candidates: draft-ietf-mmusic-mdns-ice-candidates
draft-ietf-mmusic-mdns-ice-candidates: draft-ietf-mmusic-mdns-ice-candidates"	Y	1
ip-handling	draft-ietf-rtcweb-ip-handling.xml	{'draft-ietf-rtcweb-ip-handling.xml': 18}	{'xml': 18}	18	1	xml		Y	1
security-arch	draft-ietf-rtcweb-security-arch.xml	{'draft-ietf-rtcweb-security-arch.xml': 98}	{'xml': 98}	98	1	xml		Y	1
fec	draft-ietf-rtcweb-fec.xml	{'draft-ietf-rtcweb-fec.xml': 12}	{'xml': 12}	12	1	xml		Y	1
security	draft-ietf-rtcweb-security.xml	{'draft-ietf-rtcweb-security.xml': 26}	{'xml': 26}	26	1	xml		Y	1
rtcweb-overview	rtcweb-overview.xml	{'rtcweb-overview.xml': 42}	{'xml': 42}	42	1	xml		Y	1
rtcweb-transport	rtcweb-transports.xml	{'rtcweb-transports.xml': 38}	{'xml': 38}	38	1	xml		Y	1
qlog	"draft-marx-qlog-event-definitions-quic-h3.md
draft-ietf-quic-qlog-h3-events.md
draft-ietf-quic-qlog-quic-events.md
draft-ietf-quic-qlog-main-schema.md
draft-marx-qlog-main-schema.md"	{'draft-marx-qlog-event-definitions-quic-h3.md': 42, 'draft-ietf-quic-qlog-h3-events.md': 48, 'draft-ietf-quic-qlog-quic-events.md': 66, 'draft-ietf-quic-qlog-main-schema.md': 36, 'draft-marx-qlog-main-schema.md': 2}	{'md': 194}	194	5	md	"draft-marx-qlog-event-definitions-quic-h3: draft-ietf-quic-qlog-h3-events
draft-ietf-quic-qlog-h3-events: draft-ietf-quic-qlog-h3-events
draft-ietf-quic-qlog-quic-events: draft-ietf-quic-qlog-h3-events
draft-ietf-quic-qlog-main-schema: draft-ietf-quic-qlog-main-schema
draft-marx-qlog-main-schema: draft-ietf-quic-qlog-main-schema"	N	2
ops-drafts	"draft-ietf-quic-manageability.md
draft-ietf-quic-applicability.md"	{'draft-ietf-quic-manageability.md': 366, 'draft-ietf-quic-applicability.md': 234}	{'md': 600}	600	2	md	"draft-ietf-quic-manageability: rfc9312
draft-ietf-quic-applicability: rfc9308"	N	2
load-balancers	"draft-ietf-quic-load-balancers.md
draft-ietf-quic-retry-offload.md"	{'draft-ietf-quic-load-balancers.md': 192, 'draft-ietf-quic-retry-offload.md': 4}	{'md': 196}	196	2	md	"draft-ietf-quic-load-balancers: draft-ietf-quic-load-balancers
draft-ietf-quic-retry-offload: draft-ietf-quic-retry-offload"	N	2
multipath	"draft-ietf-quic-multipath.md
draft-lmbdhk-quic-multipath.md"	{'draft-ietf-quic-multipath.md': 122, 'draft-lmbdhk-quic-multipath.md': 80}	{'md': 202}	202	2	md	"draft-ietf-quic-multipath: draft-ietf-quic-multipath
draft-lmbdhk-quic-multipath: draft-ietf-quic-multipath"	Y	1
quic-v2	"draft-ietf-quic-v2.md
draft-duke-quic-v2.md"	{'draft-ietf-quic-v2.md': 82, 'draft-duke-quic-v2.md': 2}	{'md': 84}	84	2	md	"draft-ietf-quic-v2: rfc9369
draft-duke-quic-v2: rfc9369"	Y	1
ack-frequency	"draft-ietf-quic-ack-frequency.md
draft-iyengar-quic-delayed-ack.md"	{'draft-ietf-quic-ack-frequency.md': 146, 'draft-iyengar-quic-delayed-ack.md': 40}	{'md': 186}	186	2	md	"draft-ietf-quic-ack-frequency: draft-ietf-quic-ack-frequency
draft-iyengar-quic-delayed-ack: draft-ietf-quic-ack-frequency"	Y	1
version-negotiation	draft-ietf-quic-version-negotiation.md	{'draft-ietf-quic-version-negotiation.md': 118}	{'md': 118}	118	1	md		Y	1
quic-bit-grease	draft-ietf-quic-bit-grease.md	{'draft-ietf-quic-bit-grease.md': 30}	{'md': 30}	30	1	md		Y	1
quicwg-base-drafts	"draft-ietf-quic-invariants.md
draft-ietf-quic-http.md
draft-ietf-quic-transport.md
draft-ietf-quic-recovery.md
draft-ietf-quic-tls.md
rfc9000.md
rfc9002.md
rfc9114.md
draft-ietf-quic-qpack.md
rfc9204.md
rfc8999.md
draft-ietf-quic-spin-exp.md
rfc9001.md"	{'draft-ietf-quic-invariants.md': 76, 'draft-ietf-quic-http.md': 476, 'draft-ietf-quic-transport.md': 1382, 'draft-ietf-quic-recovery.md': 610, 'draft-ietf-quic-tls.md': 400, 'rfc9000.md': 52, 'rfc9002.md': 52, 'rfc9114.md': 54, 'draft-ietf-quic-qpack.md': 228, 'rfc9204.md': 22, 'rfc8999.md': 22, 'draft-ietf-quic-spin-exp.md': 4, 'rfc9001.md': 26}	{'md': 3404}	3404	13	md	"draft-ietf-quic-invariants: rfc8999
draft-ietf-quic-http: rfc9114
draft-ietf-quic-transport: rfc9000
draft-ietf-quic-recovery: rfc9002
draft-ietf-quic-tls: rfc9001
rfc9000: rfc9000
rfc9002: rfc9002
rfc9114: rfc9114
draft-ietf-quic-qpack: rfc9204
rfc9204: rfc9204
rfc8999: rfc8999
draft-ietf-quic-spin-exp: draft-ietf-quic-spin-exp
rfc9001: rfc9001"	N	7
quicwg-datagram	draft-ietf-quic-datagram.md	{'draft-ietf-quic-datagram.md': 78}	{'md': 78}	78	1	md		Y	1
draft-ietf-sacm-coswid	draft-ietf-sacm-coswid.md	{'draft-ietf-sacm-coswid.md': 62}	{'md': 62}	62	1	md		Y	1
draft-ietf-sacm-terminology	draft-ietf-sacm-terminology.md	{'draft-ietf-sacm-terminology.md': 16}	{'md': 16}	16	1	md		Y	1
vulnerability-scenario	draft-ietf-sacm-vuln-scenario.xml	{'draft-ietf-sacm-vuln-scenario.xml': 4}	{'xml': 4}	4	1	xml		Y	1
draft-ietf-sacm-information-model	draft-ietf-sacm-information-model.xml	{'draft-ietf-sacm-information-model.xml': 4}	{'xml': 4}	4	1	xml		Y	1
draft-ietf-sacm-requirements	draft-ietf-sacm-requirements.xml	{'draft-ietf-sacm-requirements.xml': 10}	{'xml': 10}	10	1	xml		Y	1
draft-ietf-sacm-architecture	"draft-ietf-sacm-architecture.md
draft-ietf-sacm-architecture.xml"	{'draft-ietf-sacm-architecture.md': 2, 'draft-ietf-sacm-architecture.xml': 6}	{'md': 2, 'xml': 6}	8	2	xml		Y	1
draft-ietf-sedate-datetime-extended	draft-ietf-sedate-datetime-extended.md	{'draft-ietf-sedate-datetime-extended.md': 36}	{'md': 36}	36	1	md		Y	1
sframe	"draft-omara-sframe.md
draft-ietf-sframe-enc.md"	{'draft-omara-sframe.md': 58, 'draft-ietf-sframe-enc.md': 26}	{'md': 84}	84	2	md	"draft-omara-sframe: draft-ietf-sframe-enc
draft-ietf-sframe-enc: draft-ietf-sframe-enc"	Y	1
manifest-spec	"draft-ietf-suit-manifest.md
draft-ietf-suit-manifest-02.md
draft-ietf-suit-manifest-02.xml
draft-ietf-suit-manifest.xml
draft-ietf-suit-manifest-03.md"	{'draft-ietf-suit-manifest.md': 72, 'draft-ietf-suit-manifest-02.md': 6, 'draft-ietf-suit-manifest-02.xml': 2, 'draft-ietf-suit-manifest.xml': 8, 'draft-ietf-suit-manifest-03.md': 6}	{'md': 84, 'xml': 10}	94	5	md	"draft-ietf-suit-manifest: draft-ietf-suit-manifest
draft-ietf-suit-manifest-02: draft-ietf-suit-manifest
draft-ietf-suit-manifest-03: draft-ietf-suit-manifest"	Y	1
suit-firmware-encryption	"draft-ietf-suit-firmware-encryption.md
draft-ietf-suit-firmware-encryption.xml"	{'draft-ietf-suit-firmware-encryption.md': 22, 'draft-ietf-suit-firmware-encryption.xml': 6}	{'md': 22, 'xml': 6}	28	2	md		Y	1
information-model	"draft-ietf-suit-information-model.xml
draft-ietf-suit-information-model.md"	{'draft-ietf-suit-information-model.xml': 8, 'draft-ietf-suit-information-model.md': 30}	{'xml': 8, 'md': 30}	38	2	md		Y	1
suit-wg-architecture	"draft-ietf-suit-architecture.md
draft-ietf-suit-architecture.xml"	{'draft-ietf-suit-architecture.md': 32, 'draft-ietf-suit-architecture.xml': 4}	{'md': 32, 'xml': 4}	36	2	md		Y	1
draft-ietf-tls-ctls	"draft-rescorla-tls-ctls.md
draft-ietf-tls-ctls.md"	{'draft-rescorla-tls-ctls.md': 38, 'draft-ietf-tls-ctls.md': 68}	{'md': 106}	106	2	md	"draft-rescorla-tls-ctls: draft-ietf-tls-ctls
draft-ietf-tls-ctls: draft-ietf-tls-ctls"	Y	1
tls13-spec	"draft-ietf-tls-tls13.md
draft-ietf-tls-rfc8446bis.md"	{'draft-ietf-tls-tls13.md': 1266, 'draft-ietf-tls-rfc8446bis.md': 90}	{'md': 1356}	1356	2	md	"draft-ietf-tls-tls13: rfc8446
draft-ietf-tls-rfc8446bis: draft-ietf-tls-rfc8446bis"	N	2
dtls-rrc	draft-ietf-tls-dtls-rrc.md	{'draft-ietf-tls-dtls-rrc.md': 62}	{'md': 62}	62	1	md		Y	1
draft-ietf-tls-esni	"draft-ietf-tls-esni.md
draft-rescorla-tls-esni.md"	{'draft-ietf-tls-esni.md': 480, 'draft-rescorla-tls-esni.md': 76}	{'md': 556}	556	2	md	"draft-ietf-tls-esni: draft-ietf-tls-esni
draft-rescorla-tls-esni: draft-ietf-tls-esni"	Y	1
rfc8447bis	draft-ietf-tls-rfc8447bis.md	{'draft-ietf-tls-rfc8447bis.md': 46}	{'md': 46}	46	1	md		Y	1
tls-record-limit	"draft-ietf-tls-record-limit.md
draft-thomson-tls-record-limit.md"	{'draft-ietf-tls-record-limit.md': 24, 'draft-thomson-tls-record-limit.md': 2}	{'md': 26}	26	2	md	"draft-ietf-tls-record-limit: rfc8449
draft-thomson-tls-record-limit: rfc8449"	Y	1
draft-ietf-tls-iana-registry-updates	draft-ietf-tls-iana-registry-updates.md	{'draft-ietf-tls-iana-registry-updates.md': 98}	{'md': 98}	98	1	md		Y	1
dnssec-chain-extension	"draft-ietf-tls-dnssec-chain-extension-07.xml
draft-ietf-tls-dnssec-chain-extension-04.xml
draft-ietf-tls-dnssec-chain-extension-05.xml
draft-shore-tls-dnssec-chain-extension-02.xml
draft-ietf-tls-dnssec-chain-extension-08.xml"	{'draft-ietf-tls-dnssec-chain-extension-07.xml': 8, 'draft-ietf-tls-dnssec-chain-extension-04.xml': 8, 'draft-ietf-tls-dnssec-chain-extension-05.xml': 2, 'draft-shore-tls-dnssec-chain-extension-02.xml': 2, 'draft-ietf-tls-dnssec-chain-extension-08.xml': 2}	{'xml': 22}	22	5	xml	"draft-ietf-tls-dnssec-chain-extension-07: draft-ietf-tls-dnssec-chain-extension
draft-ietf-tls-dnssec-chain-extension-04: draft-ietf-tls-dnssec-chain-extension
draft-ietf-tls-dnssec-chain-extension-05: draft-ietf-tls-dnssec-chain-extension
draft-shore-tls-dnssec-chain-extension-02: draft-ietf-tls-dnssec-chain-extension
draft-ietf-tls-dnssec-chain-extension-08: draft-ietf-tls-dnssec-chain-extension"	Y	1
rfc4492bis	draft-ietf-tls-rfc4492bis.xml	{'draft-ietf-tls-rfc4492bis.xml': 58}	{'xml': 58}	58	1	xml		Y	1
draft-ietf-tls-tls13-vectors	draft-ietf-tls-tls13-vectors.md	{'draft-ietf-tls-tls13-vectors.md': 6}	{'md': 6}	6	1	md		Y	1
draft-ietf-tls-grease	draft-ietf-tls-grease-latest.xml	{'draft-ietf-tls-grease-latest.xml': 16}	{'xml': 16}	16	1	xml		Y	1
sniencryption	"draft-ietf-tls-sni-encryption.md
draft-huitema-tls-sni-encryption.md"	{'draft-ietf-tls-sni-encryption.md': 32, 'draft-huitema-tls-sni-encryption.md': 4}	{'md': 36}	36	2	md	"draft-ietf-tls-sni-encryption: rfc8744
draft-huitema-tls-sni-encryption: rfc8744"	Y	1
certificate-compression	draft-ietf-tls-certificate-compression.md	{'draft-ietf-tls-certificate-compression.md': 48}	{'md': 48}	48	1	md		Y	1
draft-ietf-tls-ticketrequest	"draft-ietf-tls-ticketrequests.md
draft-wood-tls-ticketrequest.md"	{'draft-ietf-tls-ticketrequests.md': 32, 'draft-wood-tls-ticketrequest.md': 2}	{'md': 34}	34	2	md	"draft-ietf-tls-ticketrequests: rfc9149
draft-wood-tls-ticketrequest: rfc9149"	Y	1
external-psk-design-team	"draft-ietf-tls-external-psk-guidance.md
draft-dt-tls-external-psk-guidance.md
draft-group-tls-external-psk-guidance.md"	{'draft-ietf-tls-external-psk-guidance.md': 64, 'draft-dt-tls-external-psk-guidance.md': 12, 'draft-group-tls-external-psk-guidance.md': 22}	{'md': 98}	98	3	md	"draft-ietf-tls-external-psk-guidance: rfc9257
draft-dt-tls-external-psk-guidance: rfc9257
draft-group-tls-external-psk-guidance: rfc9257"	Y	1
dtls-conn-id	draft-ietf-tls-dtls-connection-id.md	{'draft-ietf-tls-dtls-connection-id.md': 128}	{'md': 128}	128	1	md		Y	1
tls-exported-authenticator	draft-ietf-tls-exported-authenticator.md	{'draft-ietf-tls-exported-authenticator.md': 96}	{'md': 96}	96	1	md		Y	1
dtls13-spec	draft-ietf-tls-dtls13.md	{'draft-ietf-tls-dtls13.md': 310}	{'md': 310}	310	1	md		Y	1
draft-ietf-tls-external-psk-importer	"draft-ietf-tls-external-psk-importer.md
draft-wood-tls-external-psk-importer.md"	{'draft-ietf-tls-external-psk-importer.md': 38, 'draft-wood-tls-external-psk-importer.md': 4}	{'md': 42}	42	2	md	"draft-ietf-tls-external-psk-importer: rfc9258
draft-wood-tls-external-psk-importer: rfc9258"	Y	1
tls-flags	draft-ietf-tls-tlsflags.xml	{'draft-ietf-tls-tlsflags.xml': 26}	{'xml': 26}	26	1	xml		Y	1
draft-ietf-tls-md5-sha1-deprecate	"draft-ietf-tls-md5-sha1-deprecate-07.xml
draft-ietf-tls-md5-sha1-deprecate-00.xml
draft-ietf-tls-md5-sha1-deprecate-08.xml
draft-ietf-tls-md5-sha1-deprecate-02.xml"	{'draft-ietf-tls-md5-sha1-deprecate-07.xml': 10, 'draft-ietf-tls-md5-sha1-deprecate-00.xml': 8, 'draft-ietf-tls-md5-sha1-deprecate-08.xml': 10, 'draft-ietf-tls-md5-sha1-deprecate-02.xml': 10}	{'xml': 38}	38	4	xml	"draft-ietf-tls-md5-sha1-deprecate-07: rfc9155
draft-ietf-tls-md5-sha1-deprecate-00: rfc9155
draft-ietf-tls-md5-sha1-deprecate-08: rfc9155
draft-ietf-tls-md5-sha1-deprecate-02: rfc9155"	Y	1
tls-subcerts	"draft-ietf-tls-subcerts.md
draft-rescorla-tls-subcerts.md
draft-ietf-tls-subcerts-07.md"	{'draft-ietf-tls-subcerts.md': 128, 'draft-rescorla-tls-subcerts.md': 2, 'draft-ietf-tls-subcerts-07.md': 2}	{'md': 132}	132	3	md	"draft-ietf-tls-subcerts: draft-ietf-tls-subcerts
draft-rescorla-tls-subcerts: draft-ietf-tls-subcerts
draft-ietf-tls-subcerts-07: draft-ietf-tls-subcerts"	Y	1
snip	draft-ietf-tls-snip.md	{'draft-ietf-tls-snip.md': 6}	{'md': 6}	6	1	md		Y	1
api-drafts	"draft-ietf-taps-arch.md
draft-ietf-taps-interface.md
draft-ietf-taps-impl.md
draft-brunstrom-taps-impl.md
draft-trammell-taps-interface.md
draft-pauly-taps-arch.md"	{'draft-ietf-taps-arch.md': 210, 'draft-ietf-taps-interface.md': 588, 'draft-ietf-taps-impl.md': 224, 'draft-brunstrom-taps-impl.md': 22, 'draft-trammell-taps-interface.md': 60, 'draft-pauly-taps-arch.md': 18}	{'md': 1122}	1122	6	md	"5draft-ietf-taps-arch: draft-ietf-taps-arch
draft-ietf-taps-interface: draft-ietf-taps-interface
draft-ietf-taps-impl: draft-ietf-taps-impl
draft-brunstrom-taps-impl: draft-brunstrom-taps-impl
draft-trammell-taps-interface: draft-trammell-taps-interface
draft-pauly-taps-arch: draft-pauly-taps-arch"	N	6
draft-ietf-taps-transport-security	"draft-ietf-taps-transport-security.md
draft-pauly-taps-transport-security.md"	{'draft-ietf-taps-transport-security.md': 82, 'draft-pauly-taps-transport-security.md': 12}	{'md': 94}	94	2	md	"draft-ietf-taps-transport-security: rfc8922
draft-pauly-taps-transport-security: rfc8922"	Y	1
t2trg-rest-iot	"draft-keranen-t2trg-rest-iot.md
draft-irtf-t2trg-rest-iot.md"	{'draft-keranen-t2trg-rest-iot.md': 34, 'draft-irtf-t2trg-rest-iot.md': 42}	{'md': 76}	76	2	md	"draft-keranen-t2trg-rest-iot: draft-irtf-t2trg-rest-iot
draft-irtf-t2trg-rest-iot: draft-irtf-t2trg-rest-iot"	Y	1
t2trg-iot-edge-computing	"draft-hong-t2trg-iot-edge-computing.md
draft-irtf-t2trg-iot-edge.md"	{'draft-hong-t2trg-iot-edge-computing.md': 10, 'draft-irtf-t2trg-iot-edge.md': 6}	{'md': 16}	16	2	md	"draft-hong-t2trg-iot-edge-computing: draft-irtf-t2trg-iot-edge
draft-irtf-t2trg-iot-edge: draft-irtf-t2trg-iot-edge"	Y	1
webpush-vapid	"draft-ietf-webpush-vapid.md
draft-thomson-webpush-vapid.md"	{'draft-ietf-webpush-vapid.md': 38, 'draft-thomson-webpush-vapid.md': 22}	{'md': 60}	60	2	md	"draft-ietf-webpush-vapid: rfc8292
draft-thomson-webpush-vapid: draft-thomson-webpush-vapid"	N	2
webpush-encryption	draft-ietf-webpush-encryption.md	{'draft-ietf-webpush-encryption.md': 32}	{'md': 32}	32	1	md		Y	1
webpush-protocol	"draft-ietf-webpush-protocol.xml
draft-thomson-webpush-protocol.xml"	{'draft-ietf-webpush-protocol.xml': 126, 'draft-thomson-webpush-protocol.xml': 18}	{'xml': 144}	144	2	xml	"draft-ietf-webpush-protocol: rfc8030
draft-thomson-webpush-protocol: draft-thomson-webpush-protocol"	N	2
webrtc-http-ingest-protocol	"draft-ietf-wish-whip.md
draft-murillo-whip.md
draf-murillo-whip.md"	{'draft-ietf-wish-whip.md': 66, 'draft-murillo-whip.md': 2, 'draf-murillo-whip.md': 2}	{'md': 70}	70	3	md	"draft-ietf-wish-whip: draft-ietf-wish-whip
draft-murillo-whip: draft-ietf-wish-whip
draf-murillo-whip: draft-ietf-wish-whip"	Y	1
draft-ietf-webtrans-overview	draft-ietf-webtrans-overview.md	{'draft-ietf-webtrans-overview.md': 8}	{'md': 8}	8	1	md		Y	1
