repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type	URL	Single	num_of_versions
echo-request-tag	"draft-ietf-core-echo-request-tag.md
draft-amsuess-core-repeat-request-tag.md"	{'draft-ietf-core-echo-request-tag.md': 74, 'draft-amsuess-core-repeat-request-tag.md': 4}	{'md': 78}	78	2	md	"draft-ietf-core-echo-request-tag: rfc9175
draft-amsuess-core-repeat-request-tag: rfc9175"	Y	1
dynlink	draft-ietf-core-dynlink.md	{'draft-ietf-core-dynlink.md': 20}	{'md': 20}	20	1	md		Y	1
new-block	draft-ietf-core-new-block.xml	{'draft-ietf-core-new-block.xml': 44}	{'xml': 44}	44	1	xml		Y	1
stateless	draft-ietf-core-stateless.xml	{'draft-ietf-core-stateless.xml': 12}	{'xml': 12}	12	1	xml		Y	1
senml-etch	draft-ietf-core-senml-etch.md	{'draft-ietf-core-senml-etch.md': 28}	{'md': 28}	28	1	md		Y	1
multipart-ct	draft-ietf-core-multipart-ct.md	{'draft-ietf-core-multipart-ct.md': 32}	{'md': 32}	32	1	md		Y	1
senml-spec	draft-ietf-core-senml.md	{'draft-ietf-core-senml.md': 162}	{'md': 162}	162	1	md		Y	1
coap-tcp-tls	draft-ietf-core-coap-tcp-tls.md	{'draft-ietf-core-coap-tcp-tls.md': 156}	{'md': 156}	156	1	md		Y	1
api	draft-ietf-capport-api.md	{'draft-ietf-capport-api.md': 20}	{'md': 20}	20	1	md		Y	1
7710bis	"draft-ekwk-capport-rfc7710bis.xml
draft-ietf-capport-rfc7710bis.xml"	{'draft-ekwk-capport-rfc7710bis.xml': 32, 'draft-ietf-capport-rfc7710bis.xml': 8}	{'xml': 40}	40	2	xml	"draft-ekwk-capport-rfc7710bis: rfc8910
draft-ietf-capport-rfc7710bis: rfc8910"	Y	1
capport-wg-architecture	draft-ietf-capport-architecture.xml	{'draft-ietf-capport-architecture.xml': 168}	{'xml': 168}	168	1	xml		Y	1
X509	"draft-ietf-cose-hash-algs.xml
draft-ietf-cose-x509.xml
draft-schaad-cose-x509.xml
draft-ietf-cose-x509.md"	{'draft-ietf-cose-hash-algs.xml': 6, 'draft-ietf-cose-x509.xml': 22, 'draft-schaad-cose-x509.xml': 8, 'draft-ietf-cose-x509.md': 4}	{'xml': 36, 'md': 4}	40	4	xml	"draft-ietf-cose-hash-algs: rfc9054
draft-ietf-cose-x509: rfc9360
draft-schaad-cose-x509: rfc9360"	N	2
cose-rfc8152bis	"draft-ietf-cose-rfc8152bis-struct.xml
draft-ietf-cose-rfc8152bis-algs.xml
draft-schaad-cose-rfc8152bis-algs.xml
draft-schaad-cose-rfc8152bis-struct.xml"	{'draft-ietf-cose-rfc8152bis-struct.xml': 28, 'draft-ietf-cose-rfc8152bis-algs.xml': 26, 'draft-schaad-cose-rfc8152bis-algs.xml': 4, 'draft-schaad-cose-rfc8152bis-struct.xml': 4}	{'xml': 62}	62	4	xml	"draft-ietf-cose-rfc8152bis-struct: rfc9052
draft-schaad-cose-rfc8152bis-struct: rfc9052
draft-ietf-cose-rfc8152bis-algs: rfc9053
draft-schaad-cose-rfc8152bis-algs: rfc9053"	N	2
countersign	draft-ietf-cose-countersign.xml	{'draft-ietf-cose-countersign.xml': 12}	{'xml': 12}	12	1	xml		Y	1
cose-spec	"draft-ietf-cose-msg.xml
draft-schaad-cose.md
draft-schaad-cose-msg.xml
draft-schaad-cose.xml"	{'draft-ietf-cose-msg.xml': 242, 'draft-schaad-cose.md': 36, 'draft-schaad-cose-msg.xml': 22, 'draft-schaad-cose.xml': 8}	{'xml': 272, 'md': 36}	308	4	xml	"draft-ietf-cose-msg: rfc8152
draft-schaad-cose: rfc8152
draft-schaad-cose-msg: rfc8152"	Y	1
draft-ietf-detnet-yang	"draft-ietf-detnet-yang-07.xml
draft-ietf-detnet-yang-09.xml
draft-ietf-detnet-yang-10.xml
draft-ietf-detnet-yang-12.xml
draft-ietf-detnet-yang-12.v2v3.xml
draft-ietf-detnet-yang-11.xml
draft-ietf-detnet-yang-08.xml"	{'draft-ietf-detnet-yang-07.xml': 8, 'draft-ietf-detnet-yang-09.xml': 6, 'draft-ietf-detnet-yang-10.xml': 12, 'draft-ietf-detnet-yang-12.xml': 2, 'draft-ietf-detnet-yang-12.v2v3.xml': 2, 'draft-ietf-detnet-yang-11.xml': 2, 'draft-ietf-detnet-yang-08.xml': 4}	{'xml': 36}	36	7	xml	"draft-ietf-detnet-yang-07: draft-ietf-detnet-yang
draft-ietf-detnet-yang-09: draft-ietf-detnet-yang
draft-ietf-detnet-yang-10: draft-ietf-detnet-yang
draft-ietf-detnet-yang-12: draft-ietf-detnet-yang
draft-ietf-detnet-yang-12.v2v3: draft-ietf-detnet-yang
draft-ietf-detnet-yang-11: draft-ietf-detnet-yang
draft-ietf-detnet-yang-08: draft-ietf-detnet-yang"	Y	1
data-plane-drafts	"draft-ietf-detnet-data-plane-framework.xml
draft-ietf-detnet-ip-over-mpls.xml
draft-ietf-detnet-mpls-over-udp-ip.xml
draft-ietf-detnet-tsn-vpn-over-mpls.xml
draft-ietf-detnet-ip-over-tsn.xml
draft-ietf-detnet-ip.xml
draft-ietf-detnet-mpls-over-tsn.xml
draft-ietf-detnet-mpls.xml
draft-ietf-detnet-mpls-10.xml
draft-ietf-detnet-data-plane-framework-02.xml"	{'draft-ietf-detnet-data-plane-framework.xml': 52, 'draft-ietf-detnet-ip-over-mpls.xml': 52, 'draft-ietf-detnet-mpls-over-udp-ip.xml': 44, 'draft-ietf-detnet-tsn-vpn-over-mpls.xml': 38, 'draft-ietf-detnet-ip-over-tsn.xml': 36, 'draft-ietf-detnet-ip.xml': 54, 'draft-ietf-detnet-mpls-over-tsn.xml': 36, 'draft-ietf-detnet-mpls.xml': 84, 'draft-ietf-detnet-mpls-10.xml': 2, 'draft-ietf-detnet-data-plane-framework-02.xml': 2}	{'xml': 400}	400	10	xml	"draft-ietf-detnet-data-plane-framework: rfc8938
draft-ietf-detnet-ip-over-mpls: rfc9056
draft-ietf-detnet-mpls-over-udp-ip: rfc9025
draft-ietf-detnet-tsn-vpn-over-mpls: rfc9024
draft-ietf-detnet-ip-over-tsn: rfc9023
draft-ietf-detnet-ip: rfc8939
draft-ietf-detnet-mpls-over-tsn: rfc9037
draft-ietf-detnet-mpls: rfc8964
draft-ietf-detnet-mpls-10: rfc8964
draft-ietf-detnet-data-plane-framework-02: rfc8938"	N	8
